"档位","Metric","计算公式","单位/方向","适用范围","AI2-ARC","AIME-2024","BBH","BFCL-V3","BFCL-V4","BURSTGPT-TRACE","EVOSCIENTIST","GPQA","GSM8K","HOTPOT-QA","HOTPOTQA-REACT-100","HUMANEVAL","INFINITEBENCH","INSTRUCTCODER","JSONSCHEMABENCH","LIVECODEBENCH-CODE-GENERATION","LIVECODEBENCH-EXECUTION","LIVECODEBENCH-TEST-GENERATION","LONGBENCH","LONGBENCH-V2","MATH-500","MBPP","MMLU-PRO","OASST1","PAIO-CHAT-1000","PAIO-CODE-EVAL-1000","PAIO-JSON-500","PAIO-LONG-PREFILL-5000","PAIO-LONGTEXT-4000","PAIO-PREFIX-SHARED-5000","PAIO-REUSE-CONV-5000","PAIO-SEMANTIC-SIMILAR-5000","SCHEMASTORE","SHAREGPT-V3","SONNET","STRUCTEVAL","SZYN-OPENCODE-SWEBENCH-VERIFIED-500","SYFI-CODING-TRACE","TAU2-BENCH","TOOLBENCH","ULTRACHAT-200K","VISIONARENA","WILDCHAT","WILDCHAT-4.8M"
"REQUIRED","请求吞吐","Q_req = N_ok / T","request/s","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","输入吞吐","Q_in = Σ input_tokens / T","token/s","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","输出吞吐","Q_out = Σ output_tokens / T","token/s","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","总吞吐","Q_total = Σ(input_tokens + output_tokens) / T","token/s","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","TTFT","TTFT_i = t_first,i - t_send,i；报告 mean/p95/p99","ms","流式服务","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","TPOT","TPOT_i = (t_last,i - t_first,i) / (O_i - 1)；报告 mean/p95/p99","ms/token","输出≥2 token","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","端到端时延","E2E_i = t_end,i - t_send,i；报告 mean/p95/p99","ms","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","成功率","R_success = N_ok / N_plan","%","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","正确率/任务得分","Accuracy = N_correct / N_plan；特殊任务使用冻结官方 scorer","%或官方分数","具有 oracle 的数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQUIRED","OOM","N_OOM = OOM 事件数","count","全部数据集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
